time,Voltage,InjSeeded,Matisse,Diode,OPO,data
1752927166.5473,-125.99985641241074,12805.82106507364,12805.821416394569,12816.461750105005,15865.460891638904,"[[433, -1, -1], [434, -1, -1], [435, -1, -1], [436, -1, -1], [437, -1, -1], [438, -1, -1], [439, -1, -1], [440, -1, -1], [441, -1, -1], [442, -1, -1], [443, -1, -1]]"
1752927166.6594,-123.99985980987549,12805.82106507364,12805.821417464127,12816.461750105005,15865.460891638904,"[[445, -1, -1], [446, -1, -1], [447, -1, -1], [448, -1, -1], [449, -1, -1], [450, -1, -1], [451, -1, -1], [452, -1, -1], [453, 1, 9793], [453, 1, 9827], [453, 1, 10023], [453, 1, 10153], [453, -1, -1], [454, -1, -1]]"
1752927166.7688,-121.99986320734024,12805.821088638184,12805.821417464127,12816.461750570663,15865.460891638904,"[[456, -1, -1], [457, -1, -1], [458, -1, -1], [459, -1, -1], [460, -1, -1], [461, -1, -1], [462, -1, -1], [463, -1, -1], [464, -1, -1], [465, 1, 9596], [465, 1, 9630], [465, 1, 9825], [465, 1, 10154], [465, -1, -1], [466, -1, -1]]"
1752927166.8788,-119.99986660480499,12805.821151310953,12805.821425608852,12816.461750570663,15865.460891638904,"[[467, -1, -1], [468, -1, -1], [469, -1, -1], [470, -1, -1], [471, -1, -1], [472, -1, -1], [473, -1, -1], [474, -1, -1], [475, -1, -1], [476, -1, -1], [477, -1, -1]]"
1752927166.9883,-117.99987000226974,12805.821151310953,12805.821425608852,12816.46174816089,15865.460891638904,"[[478, -1, -1], [479, -1, -1], [480, -1, -1], [481, -1, -1], [482, -1, -1], [483, -1, -1], [484, -1, -1], [485, -1, -1], [486, -1, -1], [487, -1, -1]]"
1752927167.0973,-115.9998733997345,12805.82122564678,12805.821414149863,12816.46174816089,15865.460891638904,"[[489, -1, -1], [490, -1, -1], [491, -1, -1], [492, -1, -1], [493, -1, -1], [494, -1, -1], [495, -1, -1], [496, -1, -1], [497, -1, -1], [498, -1, -1]]"
1752927167.2083,-113.99987679719925,12805.82122564678,12805.821403344878,12816.46175164036,15865.460891638904,"[[500, -1, -1], [501, -1, -1], [502, -1, -1], [503, -1, -1], [504, 1, 129040], [504, 1, 129231], [504, -1, -1], [505, -1, -1], [506, -1, -1], [507, -1, -1], [508, -1, -1], [509, -1, -1]]"
1752927167.3198,-111.999880194664,12805.821057312764,12805.821403344878,12816.46175164036,15865.460891638904,"[[511, -1, -1], [512, -1, -1], [513, -1, -1], [514, -1, -1], [515, 1, 11779], [515, 1, 11978], [515, 1, 12621], [515, -1, -1], [516, -1, -1], [517, -1, -1], [518, -1, -1], [519, -1, -1], [520, -1, -1], [521, -1, -1]]"
1752927167.4288,-109.99988359212875,12805.821057312764,12805.821400887336,12816.461750975663,15865.460891638904,"[[522, 1, 10972], [522, 1, 11171], [522, 1, 11301], [522, -1, -1], [523, -1, -1], [524, -1, -1], [525, -1, -1], [526, -1, -1], [527, -1, -1], [528, -1, -1], [529, -1, -1], [530, -1, -1], [531, -1, -1], [532, -1, -1]]"
1752927167.5383,-107.9998869895935,12805.821016034573,12805.821400887336,12816.461750975663,15865.460891638904,"[[533, -1, -1], [534, -1, -1], [535, -1, -1], [536, -1, -1], [537, -1, -1], [538, -1, -1], [539, -1, -1], [540, -1, -1], [541, -1, -1], [542, -1, -1]]"
