time,wavenumber
1737189566.0724,12816.461873889835
1737189567.0799,12816.46187354296
1737189568.0866,12816.461880493442
1737189569.0916,12816.46188013182
1737189570.1021,12816.461874794573
1737189571.1091,12816.46187938549
1737189572.1158,12816.461875182245
1737189573.1246,12816.461877659247
1737189574.126,12816.461874488483
1737189575.1341,12816.46187579883
1737189576.1348,12816.461872556869
1737189577.1435,12816.461872502798
1737189578.152,12816.461878718754
1737189579.1589,12816.461872143549
1737189580.1594,12816.46187143899
1737189581.1664,12816.46187258004
1737189582.1762,12816.461872953327
1737189583.1826,12816.461880254283
1737189584.1921,12816.46187410615
1737189585.1995,12816.461874918874
1737189586.2091,12816.461876935451
1737189587.2132,12816.461874909815
1737189588.2211,12816.461875783856
1737189589.2299,12816.461879272512
1737189590.2309,12816.461870404497
1737189591.2406,12816.461872625892
1737189592.249,12816.461868664519
1737189593.2567,12816.461873141872
1737189594.2651,12816.46187263688
1737189595.2746,12816.461874029565
1737189596.2829,12816.461884854352
1737189597.2899,12816.461872179529
1737189598.2985,12816.461875093297
1737189599.3088,12816.461873327162
1737189600.3156,12816.461874898683
1737189601.3234,12816.461877197913
1737189602.3321,12816.461876014437
1737189603.3413,12816.461872939524
1737189604.3506,12816.461869585433
1737189605.3595,12816.461871397143
1737189606.3628,12816.46187562889
1737189607.3781,12816.461877134094
1737189608.3841,12816.461876442227
1737189609.3926,12816.461874708277
1737189610.3961,12816.461881578605
1737189611.4051,12816.461879813973
1737189612.411,12816.461880139204
1737189613.4183,12816.461873608867
1737189614.4283,12816.461879038137
1737189615.4361,12816.461878233365
1737189616.438,12816.46187645021
1737189617.4465,12816.461871226833
1737189618.455,12816.461877269392
1737189619.46,12816.461880198982
1737189620.4694,12816.461877302849
1737189621.4725,12816.461875074026
1737189622.478,12816.461871833008
1737189623.4832,12816.46188239871
1737189624.4858,12816.46187669709
1737189625.4945,12816.46187764386
1737189626.5002,12816.46187575202
1737189627.5041,12816.461879778723
1737189628.5081,12816.461874928982
1737189629.5146,12816.461878848255
1737189630.5224,12816.461875029907
1737189631.5281,12816.461874341778
1737189632.529,12816.46187253769
1737189633.535,12816.461874998426
1737189634.5394,12816.461880413723
1737189635.5478,12816.461881204072
1737189636.5547,12816.461877904214
1737189637.5632,12816.461880197705
1737189638.5724,12816.461881108911
1737189639.5822,12816.46188227475
1737189640.5891,12816.461883279426
1737189641.5972,12816.461871741556
1737189642.6064,12816.461870373598
1737189643.6168,12816.461878600894
1737189644.626,12816.461871631558
1737189645.6331,12816.461879094337
1737189646.6402,12816.461879688928
1737189647.6506,12816.46187101504
1737189648.6585,12816.461883765161
1737189649.6643,12816.461876293286
1737189650.6723,12816.461879548982
1737189651.681,12816.46187076787
1737189652.6882,12816.461876206155
1737189653.6973,12816.46187125405
1737189654.705,12816.461876190053
1737189655.7126,12816.461880604298
1737189656.7141,12816.461882572601
1737189657.7213,12816.461884415168
1737189658.7299,12816.461878257847
1737189659.7384,12816.461876880012
1737189660.7434,12816.461885134782
1737189661.7508,12816.461879887262
1737189662.7601,12816.461880899116
1737189663.7687,12816.461877877495
1737189664.7769,12816.461879129394
1737189665.7849,12816.461884737268
1737189666.792,12816.461869752044
1737189667.7998,12816.461881818643
1737189668.8085,12816.461877348083
1737189669.8177,12816.461877929776
1737189670.8281,12816.461878772789
1737189671.8372,12816.461873801845
1737189672.8444,12816.461881247013
1737189673.8519,12816.46188050058
1737189674.8618,12816.461881170191
1737189675.8702,12816.46187657081
